Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,edge_dir
Plgrkt,Choroid Plexus,Decyl oleate,Feces,1
Plgrkt,Choroid Plexus,DL-Phenylalanine,Feces,1
Plgrkt,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Plgrkt,Choroid Plexus,L-Isoleucine,Feces,1
Dek,Choroid Plexus,2-Pyrrolidinone,Feces,1
Cdkn1c,Choroid Plexus,2-Pyrrolidinone,Feces,1
Upf2,Choroid Plexus,2-Pyrrolidinone,Feces,1
Atn1,Choroid Plexus,2-Pyrrolidinone,Feces,1
Dnajc7,Choroid Plexus,Decyl oleate,Feces,-1
4930550C14Rik,Choroid Plexus,Decyl oleate,Feces,1
Opa1,Choroid Plexus,Decyl oleate,Feces,1
Jph1,Choroid Plexus,Decyl oleate,Feces,1
Pak2,Choroid Plexus,DL-Phenylalanine,Feces,1
Cebpz,Choroid Plexus,DL-Phenylalanine,Feces,1
Ibtk,Choroid Plexus,DL-Phenylalanine,Feces,1
Ctdspl2,Choroid Plexus,DL-Phenylalanine,Feces,1
Lmtk3,Choroid Plexus,DL-Phenylalanine,Feces,-1
Cyyr1,Choroid Plexus,DL-Phenylalanine,Feces,1
Cdkn1c,Choroid Plexus,DL-Phenylalanine,Feces,1
Ap3b1,Choroid Plexus,DL-Phenylalanine,Feces,1
Rhob,Choroid Plexus,DL-Phenylalanine,Feces,-1
Mtpn,Choroid Plexus,DL-Phenylalanine,Feces,1
Pi4ka,Choroid Plexus,DL-Phenylalanine,Feces,-1
Pbx1,Choroid Plexus,DL-Phenylalanine,Feces,1
Tulp4,Choroid Plexus,DL-Phenylalanine,Feces,1
Wbp4,Choroid Plexus,DL-Phenylalanine,Feces,1
Vps13b,Choroid Plexus,DL-Phenylalanine,Feces,1
Setx,Choroid Plexus,DL-Phenylalanine,Feces,1
Fundc2,Choroid Plexus,DL-Phenylalanine,Feces,1
Stag2,Choroid Plexus,DL-Phenylalanine,Feces,1
Phactr2,Choroid Plexus,DL-Phenylalanine,Feces,1
Smarca5,Choroid Plexus,DL-Phenylalanine,Feces,1
Dhx9,Choroid Plexus,DL-Phenylalanine,Feces,1
Adcy9,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,-1
Nfe2l2,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Dynlt2b,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Gm43568,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Smim10l1,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Gnas,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
5430402O13Rik,Choroid Plexus,"Gluconolactone (3R,4S,5R,6R)",Feces,1
Fn3krp,Choroid Plexus,L-Isoleucine,Feces,1
Ctdspl2,Choroid Plexus,L-Isoleucine,Feces,1
Pdlim5,Choroid Plexus,L-Isoleucine,Feces,1
Lmtk3,Choroid Plexus,L-Isoleucine,Feces,-1
Cyyr1,Choroid Plexus,L-Isoleucine,Feces,1
Lepr,Choroid Plexus,L-Isoleucine,Feces,1
Osbp,Choroid Plexus,L-Isoleucine,Feces,1
Klf3,Choroid Plexus,L-Isoleucine,Feces,1
Ccdc148,Choroid Plexus,L-Isoleucine,Feces,1
Cdkn1c,Choroid Plexus,L-Isoleucine,Feces,1
Mrps18a,Choroid Plexus,L-Isoleucine,Feces,-1
Smim10l1,Choroid Plexus,L-Isoleucine,Feces,1
Stk26,Choroid Plexus,L-Isoleucine,Feces,1
Iqgap2,Choroid Plexus,L-Isoleucine,Feces,1
Gnas,Choroid Plexus,L-Isoleucine,Feces,1
Pi4ka,Choroid Plexus,L-Isoleucine,Feces,-1
Pbx1,Choroid Plexus,L-Isoleucine,Feces,1
