cpx_gene,pls_metabolite,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000025016-P,Azelaic acid,1.0,0.0,3,0.5,0.6666666666666667,3,0.0579771035652448,0.9131317851623264,6,0.3684233205568145,0.2386386283572891,12,3,True,+,0.4864620132462959
ENSMUSG00000034957-P,Azelaic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1159542071304896,0.826848213385815,6,0.2210539923340887,0.4899204476475655,12,3,True,+,0.6616375754033703
ENSMUSG00000024800-P,Azelaic acid,1.0,0.0,3,1.0,0.0,3,0.0289885517826224,0.9565293523898406,6,0.3298265917365768,0.2951075125680472,12,3,True,+,0.5271921333446364
ENSMUSG00000049287-P,Azelaic acid,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.2029198624783569,0.699797968157019,6,-0.607021280536466,0.0363395749831888,12,3,True,-,0.28870891776367885
ENSMUSG00000085945-P,Azelaic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.3768511731740915,0.4614828403508046,6,0.0982462188151505,0.7613069111155328,12,3,True,+,0.8378365016371409
ENSMUSG00000093606-P,Azelaic acid,,,3,-0.5,0.6666666666666667,3,-0.1159542071304896,0.826848213385815,6,-0.205378100875553,0.5219448307785315,12,2,True,-,0.6818139441052803
ENSMUSG00000041685-P,Azelaic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.8696565534786727,0.0243768916856907,6,0.6736883575896037,0.0163087783685543,12,3,True,+,0.2377559951878443
ENSMUSG00000019933-P,Azelaic acid,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.0289885517826224,0.9565293523898406,6,-0.2070188182176386,0.5185512602345415,12,3,True,-,0.6789035277028507
ENSMUSG00000026113-P,Azelaic acid,0.5,0.6666666666666667,3,1.0,0.0,3,0.1159542071304896,0.826848213385815,6,0.4561431587846275,0.1361057136532808,12,3,True,+,0.405242361749479
ENSMUSG00000027349-P,Azelaic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.6377481392176932,0.1730711102412597,6,0.6000036934782408,0.0391613550696443,12,3,True,+,0.29411521359885556
ENSMUSG00000020546-P,Azelaic acid,0.5,0.6666666666666667,3,1.0,0.0,3,0.5797710356524485,0.2277839567150159,6,0.3578969399694769,0.2533511291161561,12,3,True,+,0.4971529492128013
ENSMUSG00000020074-P,Azelaic acid,1.0,0.0,3,0.5,0.6666666666666667,3,0.9856107606091624,0.0003090856678496,6,0.4631607458428525,0.1294224979450272,12,3,True,+,0.39793903870582864
ENSMUSG00000003199-P,Azelaic acid,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.3188740696088466,0.5379005604702051,6,-0.4035112558479397,0.1933439833274474,12,3,True,-,0.44965880103903305
ENSMUSG00000042699-P,Azelaic acid,0.5,0.6666666666666667,3,1.0,0.0,3,0.550782483869826,0.2573693316225745,6,0.7193026734680664,0.0083694410994729,12,3,True,+,0.20586441672382483
ENSMUSG00000024772-P,Azelaic acid,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.8406680016960504,0.0360575728451591,6,-0.810531305224992,0.0013855829221512,12,3,True,-,0.15269407095272192
ENSMUSG00000056938-P,Azelaic acid,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.2898855178262242,0.5773517870348748,6,-0.6386004222984786,0.0254133680576534,12,3,True,-,0.26771794608832533
ENSMUSG00000039813-P,Azelaic acid,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.2319084142609793,0.6583735712609271,6,-0.8421104469870047,0.0005890784331518,12,3,True,-,0.13979852011500762
ENSMUSG00000038135-P,Azelaic acid,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.1739313106957345,0.7417339277316277,6,-0.4710024848620565,0.122211745998782,12,3,True,-,0.39163479137057183
ENSMUSG00000027374-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.2070196678027062,0.6939066340345699,6,0.083624201000709,0.7961128560340759,12,2,True,+,0.8607029807174876
ENSMUSG00000055681-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.4140393356054125,0.4144300825009167,6,-0.4181210050035454,0.1761792716170176,12,2,True,-,0.4382347606604892
ENSMUSG00000028412-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.4140393356054125,0.4144300825009167,6,-0.3066220703359332,0.3323611248811504,12,2,True,-,0.5532635699197482
ENSMUSG00000054484-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.4140393356054125,0.4144300825009167,6,-0.3623715376697393,0.2470337519295939,12,2,True,-,0.49157846760985957
ENSMUSG00000024425-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.4140393356054125,0.4144300825009167,6,-0.4181210050035454,0.1761792716170176,12,2,True,-,0.4382347606604892
ENSMUSG00000051343-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.6210590034081188,0.188187159830816,6,-0.3066220703359332,0.3323611248811504,12,2,True,-,0.5532635699197482
ENSMUSG00000049670-P,"Benzaldehyde, 2,5-dimethoxy",-0.8660254037844387,0.3333333333333332,3,,,3,-0.2070196678027062,0.6939066340345699,6,-0.4738704723373514,0.1196417985012224,12,2,True,-,0.3893491473304123
ENSMUSG00000044224-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.2070196678027062,0.6939066340345699,6,0.3623715376697393,0.2470337519295939,12,2,True,+,0.49157846760985957
ENSMUSG00000071072-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.4140393356054125,0.4144300825009167,6,0.3623715376697393,0.2470337519295939,12,2,True,+,0.49157846760985957
ENSMUSG00000021243-P,"Benzaldehyde, 2,5-dimethoxy",0.8660254037844387,0.3333333333333332,3,,,3,0.8280786712108251,0.0417946804560452,6,0.4738704723373514,0.1196417985012224,12,2,True,+,0.3893491473304123
