n1,n2,source
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Glycerol-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Hydroquinone-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,L-Rhamnose-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Phenol-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Salsoline-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Stearic acid-F-F,FEC-PLS
1-Hydroxy-3-methoxy-6-methylanthraquinone-P-F,Trisaminol-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F","1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F-F",FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F","2,4-Di-tert-butylphenol-F-F",FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",3-O-methyl-beta-D-Glucopyranose-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",Acetoacetic acid-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",DL-Phenylalanine-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",Dodecanamide-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",L-Valine-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",Methyl stearate-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",Pipecolic acid-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",Sebacic acid-F-F,FEC-PLS
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine-P-F",Tetrahydrolinalool-F-F,FEC-PLS
1-Monoacetin-P-F,10-Heptadecenoic acid-F-F,FEC-PLS
1-Monoacetin-P-F,3-Oxo-1-cyclohexene-1-carboxylic acid-F-F,FEC-PLS
1-Monoacetin-P-F,Desmethylverapamil-F-F,FEC-PLS
1-Monoacetin-P-F,DL-Phenylalanine-F-F,FEC-PLS
1-Monoacetin-P-F,Hexanoic acid-F-F,FEC-PLS
1-Monoacetin-P-F,L-Threonine-F-F,FEC-PLS
1-Monoacetin-P-F,Phenylalanine-F-F,FEC-PLS
1-Monoacetin-P-F,Pipecolic acid-F-F,FEC-PLS
1-Monoacetin-P-F,Tyrosine-F-F,FEC-PLS
1-Monoacetin-P-F,Xylazine-F-F,FEC-PLS
1-Octadecanol-P-F,4-Methyl-5-thiazoleethanol-F-F,FEC-PLS
1-Octadecanol-P-F,9-Octadecenoic acid-F-F,FEC-PLS
1-Octadecanol-P-F,Hymexazole-F-F,FEC-PLS
1-Octadecanol-P-F,N-Acetyl glucosamine methoxime-F-F,FEC-PLS
"1-Octanol, 2-butyl--P-F",2-Ketobutyric acid-F-F,FEC-PLS
"1-Octanol, 2-butyl--P-F",Menthol-F-F,FEC-PLS
"1-Octanol, 2-butyl--P-F",Propylamine-F-F,FEC-PLS
1-Phenethylamine-P-F,"2,4-Di-tert-butylphenol-F-F",FEC-PLS
1-Phenethylamine-P-F,2-Aminobutanoic acid-F-F,FEC-PLS
1-Phenethylamine-P-F,"2-Pentenedioic acid, 2-hydroxy--F-F",FEC-PLS
1-Phenethylamine-P-F,4-Hydroxybenzaldehyde-F-F,FEC-PLS
1-Phenethylamine-P-F,4-Hydroxybenzoic acid-F-F,FEC-PLS
1-Phenethylamine-P-F,"Benzaldehyde, 2,5-dimethoxy-F-F",FEC-PLS
1-Phenethylamine-P-F,"Gluconolactone (3R,4S,5R,6R)-F-F",FEC-PLS
1-Phenethylamine-P-F,"Hexadecanoic acid, ethyl ester-F-F",FEC-PLS
1-Phenethylamine-P-F,Kojic acid-F-F,FEC-PLS
1-Phenethylamine-P-F,L-Aspartic acid-F-F,FEC-PLS
1-Phenethylamine-P-F,L-Rhamnose-F-F,FEC-PLS
1-Phenethylamine-P-F,Methylsuccinic acid-F-F,FEC-PLS
1-Phenethylamine-P-F,Octadecyl octyl ether-F-F,FEC-PLS
1-Phenethylamine-P-F,Pentanedioic acid-F-F,FEC-PLS
1-Phenethylamine-P-F,Phenylalanine-F-F,FEC-PLS
1-Phenethylamine-P-F,Pipecolic acid-F-F,FEC-PLS
1-Phenethylamine-P-F,Supraene-F-F,FEC-PLS
1-Phenethylamine-P-F,Tyrosine-F-F,FEC-PLS
1-Phenethylamine-P-F,Vanillin-F-F,FEC-PLS
1-Phenethylamine-P-F,Xylazine-F-F,FEC-PLS
"1-Phenyl-1,2-ethanediol-P-F","1,2,4,5-Cyclohexanetetrol-F-F",FEC-PLS
"1-Phenyl-1,2-ethanediol-P-F","2,4-Di-tert-butylphenol-F-F",FEC-PLS
"1-Phenyl-1,2-ethanediol-P-F",2-Hydroxy-2-methylbutyric acid-F-F,FEC-PLS
"1-Phenyl-1,2-ethanediol-P-F",3-Deoxyhexitol-F-F,FEC-PLS
"1-Phenyl-1,2-ethanediol-P-F","Stigmast-5-ene, 3beta-F-F",FEC-PLS
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl--P-F",4-hydroxy-3-penten-2-one-F-F,FEC-PLS
"1-Propanamine, N,N-diethyl--P-F",3-Methylvaleric acid-F-F,FEC-PLS
1-Tetradecanol-P-F,2-Ethylacetoacetate-F-F,FEC-PLS
1-Tetradecanol-P-F,8-Hydroxy-5-(hydroxymethyl)quinoline-F-F,FEC-PLS
1-Tetradecanol-P-F,"Benzaldehyde, 2,5-dimethoxy-F-F",FEC-PLS
1-Tetradecanol-P-F,Butanedioic acid-F-F,FEC-PLS
1-Tetradecanol-P-F,Cyclohexanemethanol-F-F,FEC-PLS
1-Tetradecanol-P-F,D-(-)-Ribofuranose-F-F,FEC-PLS
1-Tetradecanol-P-F,Dodecanoic acid-F-F,FEC-PLS
1-Tetradecanol-P-F,D-Psicofuranose-F-F,FEC-PLS
1-Tetradecanol-P-F,D-Xylose-F-F,FEC-PLS
