n1,node_cleaned,node_dir,,Name,
D-Allofuranose,D-Allofuranose,-1,,Cyclohexanecarboxylic acid,Cyclohexanecarboxylic acid
"D-Erythro-Pentitol, 2-deoxy-","D-Erythro-Pentitol, 2-deoxy-",1,,Cyclohexanol,Cyclohexanol
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate","D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate",-1,,Cytosine,Cytosine
D-Fructose,D-Fructose,-1,,D-(-)-Fructofuranose,D-(-)-Fructofuranose
D-Glucose,D-Glucose,-1,,D-(-)-Ribofuranose,D-(-)-Ribofuranose
D-Mannopyranose,D-Mannopyranose,1,,D-(+)-Glucosamine,D-(+)-Glucosamine
D-Psicofuranose,D-Psicofuranose,1,,"D-(+)-Ribono-1,4-lactone ","D-(+)-Ribono-1,4-lactone"
D-Ribose,D-Ribose,-1,,D-(+)-Talofuranose,D-(+)-Talofuranose
Decanoic acid,Decanoic acid,-1,,D-Allofuranose,D-Allofuranose
Decyl oleate,Decyl oleate,-1,,"D-Erythro-Pentitol, 2-deoxy-","D-Erythro-Pentitol, 2-deoxy-"
Deoxycholic Acid,Deoxycholic Acid,-1,,d-Erythrotetrofuranose,d-Erythrotetrofuranose
Deoxyglucose,Deoxyglucose,-1,,D-Fructose,D-Fructose
Deoxyribopyranose,Deoxyribopyranose,1,,D-Fucitol,D-Fucitol
Dihydrouracil,Dihydrouracil,-1,,D-Glucose,D-Glucose
Dihydroxyacetone,Dihydroxyacetone,1,,D-Mannopyranose,D-Mannopyranose
DL-Phenylalanine,DL-Phenylalanine,-1,,D-Ribose,D-Ribose
Erythritol,Erythritol,1,,Decanoic acid,Decanoic acid
"Erythrono-1,4-lactone","Erythrono-1,4-lactone",-1,,Decyl oleate,Decyl oleate
Ethyl alpha-D-glucopyranoside,Ethyl alpha-D-glucopyranoside,-1,,Deoxyglucose,Deoxyglucose
"Gluconolactone (3R,4S,5R,6R)","Gluconolactone (3R,4S,5R,6R)",-1,,Dihydrouracil,Dihydrouracil
