DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
,,15.39656988471546,,16.027442504336406,15.267001008214582,,15.267001008214582,11.73344589311528,,15.39656988471546,,16.38716185479659,16.207484324420978
,,,,,,,,,20.6292687562774,,,,
,,,,,,21.566275994088834,,,,,,,
,,,,,,,,,,,,,
,24.059471680211118,25.140663431027427,,25.248245599251963,,,22.663346963173684,,,,28.597049460306497,,
21.811268708817973,21.811268708817973,20.944682697362236,21.9535073039897,20.53009211757007,20.944682697362236,22.10136387655403,21.811268708817973,21.70761198277439,20.159049269761585,21.36156896985457,21.49512426745769,21.36156896985457,19.626871308510992
16.267931772699097,18.87000098295748,18.145516841146943,17.73101607564761,13.783405868376022,17.917954706335404,17.504940337930993,15.684213392506413,17.313901308851932,18.527065735233002,16.027442504336406,16.207484324420978,13.487298878543296,17.420656950089175
,,,,,,,,,,,,,
,26.651849462366915,,,28.504702814838293,26.779800290688794,26.651849462366915,28.220824986859178,,,28.504702814838293,27.92524459775121,28.139723574834868,27.78907181958203
,,,,,,,,,,,,,
18.994720196960333,19.36205780789064,19.791251716821705,18.929456495102794,18.40008695193352,18.87000098295748,18.994720196960333,18.697253042531315,19.12715709241501,,19.41868971884918,19.977070348849676,19.82917893481498,19.36205780789064
19.511528355008892,18.816900848646988,18.87000098295748,19.626871308510992,18.090663406345644,19.55840932952848,19.723751953711417,19.511528355008892,19.192546564593975,20.53009211757007,,18.697253042531315,19.044780457273152,
,,,,,,18.090663406345644,,,,,,,
26.269939079141064,24.491789288861316,,,,,,,25.89217197325309,,25.140663431027427,26.06651650878252,,25.741137750046672
,,,,,,,,,,,,,
18.47862430573336,17.79122014145856,18.527065735233002,18.697253042531315,16.700122639813483,19.311341046599278,17.420656950089175,18.929456495102794,17.67570612907752,18.929456495102794,18.007855678299716,18.145516841146943,18.145516841146943,18.527065735233002
24.059471680211118,23.584213588252027,23.920579189958964,24.13416838153767,23.417291798715073,23.616437364521392,24.304911461865277,24.304911461865277,24.187462616991436,23.616437364521392,23.151992757960304,23.71999917837554,23.870386627878066,23.53191592986123
22.430766960994436,23.222075930761207,,21.36156896985457,22.54252442178061,22.663346963173684,23.953297105679837,22.81629933915454,23.29594091395716,24.361767611067528,22.76118107855382,,,19.723751953711417
,,,,,,,,,,,,,
16.700122639813483,36.317196840651846,16.10708189958663,26.96160059936936,,,,26.651849462366915,22.991190162689342,24.241680361020343,31.668951186609984,33.78547332532239,32.65987336076064,33.78547332532239
,23.71999917837554,24.187462616991436,,,,,23.222075930761207,,,,,23.584213588252027,23.584213588252027
19.82917893481498,19.511528355008892,19.55840932952848,19.90628699179653,18.76637914203081,19.90628699179653,19.977070348849676,19.723751953711417,19.41868971884918,19.791251716821705,19.236639097669983,19.41868971884918,19.791251716821705,19.044780457273152
19.55840932952848,19.236639097669983,19.236639097669983,17.79122014145856,18.572420897099427,19.82917893481498,17.96713333278627,18.76637914203081,18.929456495102794,19.36205780789064,18.929456495102794,19.311341046599278,19.41868971884918,18.87000098295748
17.73101607564761,17.044039991717742,16.894290018224726,17.313901308851932,16.10708189958663,17.67570612907752,18.007855678299716,17.96713333278627,16.207484324420978,16.78619280811605,16.207484324420978,17.79122014145856,16.954735439681233,16.38716185479659
17.128341573761485,14.6579166018199,16.207484324420978,16.207484324420978,14.91150018039568,16.10708189958663,15.39656988471546,16.10708189958663,13.487298878543296,15.267001008214582,14.6579166018199,16.10708189958663,,
25.792817913981178,25.792817913981178,26.06651650878252,,26.387010738920857,,22.991190162689342,,25.741137750046672,,,25.404802973180967,26.06651650878252,26.124112340107267
20.85775323035948,19.626871308510992,19.36205780789064,20.53009211757007,17.73101607564761,17.79122014145856,19.36205780789064,17.044039991717742,19.626871308510992,19.311341046599278,19.626871308510992,20.53009211757007,17.313901308851932,16.954735439681233
,,18.090663406345644,,,,,17.259371352214917,,,12.340219003345359,,18.47862430573336,17.848056725654924
21.36156896985457,21.278227382097498,21.36156896985457,21.42405899916408,20.776972835570746,21.49512426745769,21.49512426745769,20.944682697362236,20.85775323035948,21.70761198277439,20.53009211757007,21.63965483051689,21.42405899916408,20.944682697362236
,,11.73344589311528,,,,,,,,,,,
11.053448878828174,2.0053360546098284,,,,,8.203468926465137,,,4.918347381516455,2.0053360546098284,,5.2319467103497415,
,,,,,,,,,,,,,
