node1,node2
2'-Deoxyribolactone__FEC,1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC
2'-Deoxyribolactone__FEC,d-Erythrotetrofuranose__FEC
2'-Deoxyribolactone__FEC,Glycerol tricaprylate__FEC
Idoxuridine__FEC,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile__FEC"
Idoxuridine__FEC,Tricine__FEC
Ketamine__FEC,"Butanoic acid, 3,4-dihydroxy-__FEC"
4-Hydroxybenzaldehyde__FEC,1-Octanol__FEC
Lignoceric acid__FEC,"beta-D-Galactopyranoside, methyl-, acetate__FEC"
3-Deoxyhexitol__FEC,2-Palmitoylglycerol__FEC
3-Deoxyhexitol__FEC,Phloretic acid__FEC
"Propane, 2-methyl__FEC","Acetamide, N-(2-butyl)-N-methyl-__FEC"
D-Mannopyranose__FEC,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol__FEC"
Tricine__FEC,d-Erythrotetrofuranose__FEC
3-Hydroxypicolinic acid__FEC,trans-Coniferryl alchool__FEC
1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC,d-Erythrotetrofuranose__FEC
d-Erythrotetrofuranose__FEC,4-Hydroxyphenyllactic acid__FEC
d-Erythrotetrofuranose__FEC,Glycerol__FEC
Glycerol tricaprylate__FEC,Glycerol__FEC
3-Hydroxybutyric acid__FEC,Hexacosanoic acid__FEC
Cope__CPX,"2,4-Di-tert-butylphenol__FEC"
Spmip6__CPX,"2,4-Di-tert-butylphenol__FEC"
Vps37d__CPX,"2,4-Di-tert-butylphenol__FEC"
Nedd4__CPX,L-Valine__FEC
Wbp11__CPX,L-Valine__FEC
Usf3__CPX,L-Valine__FEC
Fn3krp__CPX,L-Valine__FEC
Pak2__CPX,L-Valine__FEC
Cebpz__CPX,L-Valine__FEC
Kin__CPX,L-Valine__FEC
Ibtk__CPX,L-Valine__FEC
Ctdspl2__CPX,L-Valine__FEC
Pabpc1__CPX,L-Valine__FEC
Kif2a__CPX,L-Valine__FEC
Arhgef12__CPX,L-Valine__FEC
Arhgap5__CPX,L-Valine__FEC
Slk__CPX,L-Valine__FEC
Cdkn1c__CPX,L-Valine__FEC
Smim10l1__CPX,L-Valine__FEC
Ap3b1__CPX,L-Valine__FEC
Wasl__CPX,L-Valine__FEC
Gsk3b__CPX,L-Valine__FEC
D630036H23Rik__CPX,L-Valine__FEC
Pbx1__CPX,L-Valine__FEC
Tulp4__CPX,L-Valine__FEC
Wbp4__CPX,L-Valine__FEC
Vps13b__CPX,L-Valine__FEC
Setx__CPX,L-Valine__FEC
Pcmtd1__CPX,L-Valine__FEC
Mafg__CPX,L-Valine__FEC
B230219D22Rik__CPX,L-Valine__FEC
Stag2__CPX,L-Valine__FEC
Phactr2__CPX,L-Valine__FEC
Fcho2__CPX,L-Valine__FEC
Smarca5__CPX,L-Valine__FEC
Gtpbp4__CPX,L-Valine__FEC
Vps36__CPX,L-Valine__FEC
Mob4__CPX,Deoxyglucose__FEC
Igfbp6__CPX,Deoxyglucose__FEC
Silc1__CPX,Vanillin__FEC
Adcy9__CPX,Vanillin__FEC
Cdkn1c__CPX,Vanillin__FEC
Gm43568__CPX,Vanillin__FEC
Smim10l1__CPX,Vanillin__FEC
Rdx__CPX,Vanillin__FEC
Golm2__CPX,Vanillin__FEC
Cnih2__CPX,Vanillin__FEC
Osgepl1__CPX,Vanillin__FEC
Atn1__CPX,Vanillin__FEC
Map3k5__CPX,Vanillin__FEC
Ptgr3__CPX,Vanillin__FEC
Serpinb8__CPX,Vanillin__FEC
Gsta4__CPX,Vanillin__FEC
Dnajc21__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Bhmt2__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Psma4__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Prxl2c__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Smim10l1__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Asb8__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Wbp4__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Setx__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Cep57__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Ofd1__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Efhb__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Vmp1__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Zfp1007__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Gtpbp4__CPX,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC"
Wbp11__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Wbp11__CPX,L-Aspartic acid__FEC
Wbp11__CPX,Methylsuccinic acid__FEC
Ibtk__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Ctdspl2__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Srebf2__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Gpaa1__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Ap3b1__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Rhob__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Pi4ka__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Pbx1__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Tulp4__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Vps13b__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Setx__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Pja2__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Dync1h1__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Tceal8__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Vps36__CPX,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC"
Ibtk__CPX,L-Aspartic acid__FEC
Ctdspl2__CPX,L-Aspartic acid__FEC
Kcmf1__CPX,L-Aspartic acid__FEC
Cep78__CPX,L-Aspartic acid__FEC
Ibtk__CPX,Methylsuccinic acid__FEC
Apc2__CPX,Methylsuccinic acid__FEC
Mtpn__CPX,Methylsuccinic acid__FEC
Pthlh__CPX,Methylsuccinic acid__FEC
Serpinb8__CPX,Methylsuccinic acid__FEC
Plgrkt__CPX,2-Pyrrolidinone__FEC
Plgrkt__CPX,Decyl oleate__FEC
Plgrkt__CPX,DL-Phenylalanine__FEC
Plgrkt__CPX,"Gluconolactone (3R,4S,5R,6R)__FEC"
Plgrkt__CPX,L-Isoleucine__FEC
Dek__CPX,2-Pyrrolidinone__FEC
Cdkn1c__CPX,2-Pyrrolidinone__FEC
Upf2__CPX,2-Pyrrolidinone__FEC
Atn1__CPX,2-Pyrrolidinone__FEC
Dnajc7__CPX,Decyl oleate__FEC
4930550C14Rik__CPX,Decyl oleate__FEC
Opa1__CPX,Decyl oleate__FEC
Jph1__CPX,Decyl oleate__FEC
Pak2__CPX,DL-Phenylalanine__FEC
Cebpz__CPX,DL-Phenylalanine__FEC
Ibtk__CPX,DL-Phenylalanine__FEC
Ctdspl2__CPX,DL-Phenylalanine__FEC
