n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000071636-C,Pinosylvin,,,0,0.8660254037844387,0.3333333333333332,3,1.0,0.0,3,0.9856107606091624,0.0003090856678496,6,2,True,+,0.03410942013430103
ENSMUSG00000071637-C,L-Norleucine,,,1,,,1,1.0,0.0,3,1.0,1.4042654220543672e-24,5,1,True,+,1.7821428451631082e-22
ENSMUSG00000071648-C,"Naringenin 4',7-dimethylether",,,0,1.0,0.0,3,,,2,1.0,1.4042654220543672e-24,5,1,True,+,1.7821428451631082e-22
ENSMUSG00000071711-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000071711-C,2-Cyanobenzaldehyde,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000071711-C,alpha-Hydroxyisobutyric acid,,,0,,,2,-1.0,0.0,3,-1.0,1.4042654220543672e-24,5,1,True,-,1.7821428451631082e-22
ENSMUSG00000072844-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000072893-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000073374-C,"3,4,5-Trimethoxyamphetamine",,,1,1.0,0.0,3,1.0,0.0,3,0.9642857142857144,0.0004541491691941,7,2,True,+,0.04729984303045725
ENSMUSG00000073374-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000073374-C,2-Ethyl-1-butanol,,,0,,,2,1.0,0.0,3,1.0,1.4042654220543672e-24,5,1,True,+,1.7821428451631082e-22
ENSMUSG00000073705-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000074220-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,1.0,0.0,3,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000074384-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000074916-C,"1-Heptanol, 2-propyl-",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000075254-C,m-Toluic acid,,,2,-1.0,0.0,3,-1.0,0.0,3,-0.9700772721497396,6.548558831120658e-05,8,2,True,-,0.007901043754498766
