ID,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS_73_REP_190124,DSS_76_REP_190124,DSS_77_REP_190124,DSS_T0.7_180124
GROUP,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"3-Buten-2-one, 4-(4-methoxyphenyl)-",22.27119795,21.98787119,23.23247857,19.21629041,22.47089993,22.60335594,22.60335594,22.60335594,22.55350385,23.58583718,23.58583718,23.91498035,19.88431706
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",29.03771909,30.4570814,28.26473762,30.65717937,27.87116446,28.13582064,28.13582064,30.03081743,29.29902845,31.96792753,31.84121898,31.96792753,28.97338374
3-Ethylphenol,15.55615121,14.2715785,16.04304197,13.1883691,16.04304197,15.91067079,14.41829582,13.15713936,17.17882994,,16.13854448,,
3-Hexenedinitrile,16.37440114,17.27927856,18.77329779,16.79335043,19.4230192,19.4230192,17.09824797,17.8908132,15.72637617,18.51017463,18.85979253,19.31692204,20.90424817
"3-Hydroxy-2,3-dihydromaltol",,9.917012155,,17.44445169,,9.372726265,12.69235559,8.43711071,,16.57853019,16.37440114,17.00897067,16.17338507
3-Hydroxybutyric acid,26.97864927,27.44710764,26.97864927,28.13582064,28.39886823,27.25614284,27.44710764,27.25614284,27.05718357,27.73040421,28.02081495,28.51228501,28.39886823
3-Hydroxyisovaleric acid,12.03832362,11.96007183,11.72039354,8.43711071,12.88452541,12.63161934,12.29674781,10.38112902,11.51426793,11.16356277,10.91608404,,15.55615121
3-Indoleacetic acid,,12.29674781,12.24025415,16.3316947,,,13.5523728,14.41829582,14.37641612,,,,
3-Indolepropionic acid,13.58682918,9.996968364,9.465509781,15.72637617,12.12741999,11.51426793,12.24025415,14.69237704,12.24025415,,,,
"3-Methoxyamphetamine, 4-Trimethylsilyloxy, N,N-bis(Trimethylsilyloxy)-",27.73040421,28.26473762,26.52611711,28.6402584,27.16552195,28.02081495,28.02081495,28.02081495,28.13582064,,,,
3-Methoxysalicylic acid,26.08310847,,26.8851741,23.31473498,23.82125404,25.83053674,,26.62018009,25.74843576,,,,19.91566389
"3-Methyl-1-(tetrahydropyrrolo[1,2-c]oxazol-3-ylidene)-butan-2-one",18.51017463,20.0435264,16.856624,21.68227601,17.20808923,16.82444981,18.51017463,20.21820515,18.98218827,19.75725505,19.31692204,19.01705162,
3-Methyl-2-butanol,15.17602716,,13.35521154,13.63504052,14.52621186,16.13854448,,7.832200207,14.80210714,,,18.18112051,19.27809319
"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",21.57793522,23.23247857,,21.98787119,23.00170775,22.69162315,23.8678347,22.92354523,22.73963344,,,,24.34618777
3-Methyladenine,9.545251342,10.48716356,9.795177829,10.29635512,,10.44768035,9.639279878,9.917012155,5.871401689,12.17581506,11.84628039,,
"3-Methylpiperazine-2,5-dione, (R)-",16.7223437,19.4230192,17.13799735,20.90424817,16.21565555,16.40086466,16.76385171,19.13231529,17.37328372,22.8081188,23.23247857,22.43801531,
3-Methylvaleric acid,14.80210714,14.0430583,13.73358567,,13.83510942,13.75916543,14.8950131,10.91608404,14.97823835,10.96763418,10.18543739,13.05628605,
3-Nonen-1-ol,,21.80203208,21.98787119,,,21.80203208,,21.36409445,22.02643659,23.54182311,24.45243153,,
3-Ureidopropionic acid,,,4.355923871,,6.588441754,,,,,9.12695566,9.278074165,11.84628039,14.80210714
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",20.97790952,21.40034816,21.75448254,18.2415052,20.97790952,22.02643659,21.90291854,21.68227601,20.85080801,22.27119795,22.47089993,22.55350385,21.29634727
"3,4-Dihydroxymandelic acid, ethyl ester",,12.69235559,,,,,,,,,,,
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",,,,24.27524702,26.97864927,,,,,21.50330639,22.07788483,21.75448254,22.43801531
"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",4.640058036,,7.694596559,,,7.427698688,6.588441754,4.640058036,,,9.917012155,12.29674781,14.61389388
"3,5-Di-tert-butyl-2-trimethylsilyloxybenzaldehyde",14.06352482,,13.5523728,14.2715785,14.33088115,13.73358567,,,16.40086466,17.75607908,17.9359832,,
"3,5-di-tert-Butyl-4-hydroxyacetophenone",17.37328372,20.13023649,,16.94229767,17.13799735,16.94229767,,,16.04304197,,17.17882994,,19.16204886
"3,5-Dimethyl-1,4-diallylpyrazole",21.85387841,21.75448254,20.97790952,22.50923693,22.02643659,22.18104577,21.7246649,20.43082443,22.11388657,,,,18.18112051
"3,5-Dimethylpyrazole",14.0430583,13.5523728,13.95929764,,15.32315084,15.32315084,,12.69235559,13.79063524,17.77986919,,18.07686419,
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,15.9906091,14.8950131,,,12.98652375,13.40026692,,14.37641612,14.33088115,17.62170735,,18.71327863,20.0435264
3'-Hydroxyacetophenone,11.72039354,13.50305474,10.38112902,6.146813627,10.68423951,12.69235559,10.29635512,9.545251342,10.10306138,14.97823835,16.57853019,15.32315084,17.51162721
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",3.58435789,4.682530017,7.368482017,,7.237424327,7.771536565,6.823750767,4.682530017,2.697591238,10.68423951,12.24025415,12.69235559,15.04567024
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",3.666980928,3.20307154,5.240520179,0.850175744,6.985893041,7.237424327,5.871401689,2.735973415,2.735973415,10.58144185,10.96763418,12.77266458,15.72637617
