"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"14985","alpha-Tocopherol","HMDB0001893","14985","18145","C02477","6376","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1","1"
"135408770","Ammeline",NA,"135408770",NA,"C08733",NA,NA,"1"
"109475","NA","NA","NA","NA","NA","NA","NA","0"
"444899","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"545","Arsenite","HMDB0011620","545","49900","C13619",NA,"O[As](O)O","1"
"5960","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"22563","6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine","HMDB0033249","22563","28212","C06559",NA,"CC(C)NC1=NC(N)=NC(Cl)=N1","1"
"19861","Azatadine","HMDB0014857","19861","2946","C07774",NA,"CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2","1"
"537224","NA","NA","NA","NA","NA","NA","NA","0"
"5364853","NA","NA","NA","NA","NA","NA","NA","0"
"22015","NA","NA","NA","NA","NA","NA","NA","0"
"21627673","NA","NA","NA","NA","NA","NA","NA","0"
"140640","1,2-Diphenylcyclobutane","HMDB0031821","140640","151035","C14467",NA,"C1CC(C1C1=CC=CC=C1)C1=CC=CC=C1","1"
"136810","1,3-Di-tert-butylbenzene","HMDB0061923","136810",NA,NA,NA,"CC(C)(C)C1=CC(=CC=C1)C(C)(C)C","1"
"21096","NA","NA","NA","NA","NA","NA","NA","0"
"7680","2-Phenylacetamide","HMDB0010715","7680","16562","C02505",NA,"NC(=O)CC1=CC=CC=C1","1"
"999","Phenylacetic acid","HMDB0000209","999","30745","C07086","129","OC(=O)CC1=CC=CC=C1","1"
"601551","NA","NA","NA","NA","NA","NA","NA","0"
"78106","NA","NA","NA","NA","NA","NA","NA","0"
"608296","NA","NA","NA","NA","NA","NA","NA","0"
"2928334","NA","NA","NA","NA","NA","NA","NA","0"
"7150","Methyl benzoate","HMDB0033968","7150","72775",NA,NA,"COC(=O)C1=CC=CC=C1","1"
"10268510","NA","NA","NA","NA","NA","NA","NA","0"
"3102","Benzophenone","HMDB0032049","3102","41308","C06354",NA,"O=C(C1=CC=CC=C1)C1=CC=CC=C1","1"
"244","Benzyl alcohol","HMDB0003119","244","17987","C00556",NA,"OCC1=CC=CC=C1","1"
"964","Hydroxypyruvic acid","HMDB0001352","964","30841","C00168","482","OCC(=O)C(O)=O","1"
