,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
DL-p-Hydroxyphenyllactic acid,,16.38716185479659,17.128341573761485,18.47862430573336,16.649394651426014
"Dodecanoic acid, 1-methylethyl ester",14.77794148459306,10.589741767314072,11.999708944648896,13.487298878543296,5.4519271051056934
Dodecanoic acid,25.050447238005177,23.484143310267747,23.53191592986123,23.616437364521392,23.29594091395716
"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",,4.357485352481382,4.918347381516455,8.64390924178897,0.5989360822462241
Durapan,19.626871308510992,17.73101607564761,16.649394651426014,17.605330159289814,11.73344589311528
"Erythrono-1,4-lactone",22.81629933915454,22.60513085670781,24.13416838153767,23.870386627878062,23.77270330773383
Ethanolamine,28.863827445577932,29.754289059653733,29.092836196046683,29.199493510442174,29.199493510442174
Formamide,31.21036514314471,31.668951186609984,31.668951186609984,32.00781944442083,30.7823453433383
Frangulin,14.021419364841742,4.918347381516455,6.637474595960846,,0.9266751030624764
Glabridin,17.67570612907752,16.894290018224726,,,16.38716185479659
Glyceric acid,21.03415127487163,19.192546564593975,,,
Glycerol,17.848056725654924,15.684213392506413,16.027442504336406,15.79492488769024,13.487298878543296
Glycine,,26.8471068534773,27.92524459775121,27.084943944408092,26.269939079141064
"Glycine, tert.-butyldimethylsilyl ester",29.092836196046683,28.597049460306497,29.199493510442174,29.092836196046683,28.328763097489578
Glycolic acid,27.60464096162688,28.220824986859174,27.70606970193908,28.863827445577932,27.92524459775121
Guanosine,,17.96713333278627,18.20683760099299,12.73466395698144,17.420656950089175
Heptanedioic acid,14.91150018039568,,,,
Heptanoic acid,24.617441356369007,24.361767611067528,24.617441356369007,24.69908251133796,24.05947168021112
Heptylamine,,11.053448878828174,13.17498269461429,14.021419364841742,6.033603261326803
Hexacosanoic acid,14.6579166018199,8.959893012120766,11.432133533201071,,4.918347381516455
Hexanoic acid,26.387010738920857,26.50296267227539,26.50296267227539,26.8471068534773,26.200929917790297
Hydracrylic acid,23.151992757960304,23.77270330773383,23.82958488643099,23.920579189958964,23.674356384455788
Hydroxylamine,,,,,26.341187662588105
"Hymexazole, tert-butyldimethylsilyl ether",26.567254262059528,25.58298494600797,24.791158461587777,25.96252317418443,24.491789288861316
Hypoxanthine,27.70606970193908,27.21934825959647,26.779800290688794,27.439594575526513,25.6563659490016
Iminodiacetic acid,10.101353297214947,5.7610837394771846,5.7610837394771846,11.053448878828174,2.6473235787985914
Indoprofen,,,,,
Isobutanol,,16.954735439681233,17.504940337930993,17.504940337930993,18.964499198463745
Isonicotinic Acid,26.06651650878252,26.124112340107267,26.023750424771674,26.45236086775373,25.491807134917025
Isopropyl palmitate,14.44344997303848,8.203468926465137,11.053448878828174,13.17498269461429,5.2319467103497415
Isopropylamine,25.58298494600797,25.89217197325309,25.404802973180967,24.791158461587777,27.004989997162102
Isosorbide,,,,,
Ketamine,31.668951186609984,32.00781944442083,30.573336989554633,30.942609521468626,29.976899253025323
"Kojic acid, bis(tert-butyldimethylsilyl) ether",21.151328125650927,19.791251716821705,20.060474603176942,20.437043584347983,16.954735439681233
L-(+)-Threose,,29.199493510442174,,,
Lactic acid,29.976899253025323,30.370043719919497,30.172391027732196,,30.370043719919497
L-Alanine,13.17498269461429,2.6473235787985914,8.203468926465137,8.203468926465137,0.5410740830618447
L-Asparagine,21.63965483051689,21.151328125650927,,,
L-gamma-Glutamyl-L-glutamic acid,,,,,
Leucylglycine,19.90628699179653,22.262186034564476,21.9535073039897,18.145516841146943,21.566275994088834
Levulinic acid,24.187462616991436,24.187462616991436,23.953297105679837,24.304911461865277,23.616437364521392
L-Glutamic acid,20.060474603176942,,20.437043584347983,,19.626871308510992
L-Glutamine,11.432133533201071,3.515329454763203,7.5486253233047425,8.959893012120766,0.0671770553009554
"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",24.361767611067528,24.41996340567163,24.41996340567163,25.6563659490016,24.361767611067528
Lignoceric acid,18.007855678299716,16.700122639813483,16.548397760488008,16.894290018224726,15.925482683255618
L-Leucine,19.791251716821705,18.994720196960333,19.192546564593975,20.060474603176942,18.994720196960333
"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",30.573336989554633,31.21036514314471,30.7823453433383,,32.65987336076064
L-Lysine,23.674356384455788,23.870386627878062,24.05947168021112,23.584213588252027,23.35257549176473
L-Norleucine,,,28.022288157553156,,
