n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count
ENSMUSG00000026504-B,alpha-Hydroxyisobutyric acid,,,0,,,2,-0.6,0.2079999999999998,6,-0.7142857142857144,0.0465282322841672,8,1
ENSMUSG00000026504-B,Allylescaline,0.5,0.6666666666666667,3,1.0,0.0,3,-0.2648204488514248,0.6120552385657049,6,-0.1947052093686243,0.5442509785725534,12,3
ENSMUSG00000026504-B,Aniline,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.2571428571428572,0.6227871720116618,6,0.0912286317569255,0.777964790631589,12,3
ENSMUSG00000026504-B,Azelaic acid,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.0579771035652448,0.9131317851623264,6,-0.3263177982074643,0.3005831544239116,12,3
ENSMUSG00000026504-B,"Benzaldehyde, 2,5-dimethoxy",0.0,1.0,3,,,3,0.2070196678027063,0.69390663403457,6,-0.1393736683345151,0.6657396861677172,12,2
ENSMUSG00000026504-B,"Benzene, 1,4-dimethoxy",0.0,1.0,3,-0.5,0.6666666666666667,3,-0.3714285714285715,0.4684781341107871,6,-0.2070188182176386,0.5185512602345417,12,3
ENSMUSG00000026504-B,Benzeneacetic acid,,,2,,,0,1.0,0.0,3,0.8999999999999998,0.0373860734684987,5,1
ENSMUSG00000026504-B,Benzenepropanoic acid,-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,-0.4413674147523747,0.3809392104771887,6,0.1166143263021362,0.7181596508909602,12,3
ENSMUSG00000026504-B,"Benzenesulfonamide, N-butyl",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.4638168285219587,0.3541642984362303,6,0.0245615547037876,0.9396041416775024,12,3
ENSMUSG00000026504-B,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester",0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.9276336570439176,0.0076658441874731,6,0.0808447089171284,0.8027698378138917,12,3
ENSMUSG00000026504-B,"Benzoic acid, methyl ester",0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.0857142857142857,0.8717434402332361,6,-0.0839160839160839,0.7954145018538977,12,3
ENSMUSG00000026504-B,Benzoic Acid,0.8660254037844387,0.3333333333333332,3,-1.0,0.0,3,0.2125118592516207,0.6860308660088958,6,0.2557198127727514,0.4224292199746535,12,3
ENSMUSG00000026504-B,Benzophenone,,,2,0.5,0.6666666666666667,3,-0.6,0.2079999999999998,6,-0.0410023842820384,0.9047248643018936,11,2
ENSMUSG00000026504-B,Benzyl alcohol,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.4285714285714286,0.3965014577259474,6,0.2786704473506533,0.3804360735162029,12,3
ENSMUSG00000026504-B,Biphenyl,-1.0,0.0,3,0.5,0.6666666666666667,3,0.4285714285714286,0.3965014577259474,6,0.0035149873442229,0.9913499783295984,12,3
ENSMUSG00000026504-B,Butachlor ESA,,,2,-0.5,0.6666666666666667,3,-0.1999999999999999,0.8,4,0.15,0.7000942309691419,9,2
ENSMUSG00000026504-B,Butanedioic acid,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.6571428571428573,0.1561749271137023,6,-0.5745258844912869,0.0507186371787765,12,3
ENSMUSG00000026504-B,Butylmethylamine,-0.5,0.6666666666666667,3,-0.8660254037844387,0.3333333333333332,3,0.5428571428571429,0.2657026239067055,6,0.3492199276925908,0.26586795321194,12,3
ENSMUSG00000026504-B,Butyric Acid,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.5507824838698261,0.2573693316225744,6,0.1616894178342569,0.6156403802382104,12,3
ENSMUSG00000026504-B,Cholesterol,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.4285714285714286,0.3965014577259474,6,0.2097902097902098,0.5128409431818263,12,3
ENSMUSG00000026504-B,Citramalic acid,0.0,1.0,3,-0.5,0.6666666666666667,3,-0.1538967528127731,0.8048288166080632,5,0.1141564412443057,0.7382214093852513,11,3
ENSMUSG00000026504-B,Crotonic acid,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.3339472073954039,0.5177002083054396,6,-0.0070424281520399,0.9826701704764308,12,3
ENSMUSG00000026504-B,Curcumin,-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1428571428571428,0.7871720116618075,6,0.2381789992350377,0.4559885528370967,12,3
ENSMUSG00000026504-B,Cyclobutylamine,0.5,0.6666666666666667,3,-1.0,0.0,3,0.753702346348183,0.0835232813732598,6,0.2508974899227779,0.431531524844491,12,3
ENSMUSG00000026504-B,Cycloheptanol,1.0,0.0,3,-0.5,0.6666666666666667,3,0.4638168285219587,0.3541642984362303,6,0.4175464299643898,0.1768356235220824,12,3
ENSMUSG00000026504-B,"Cyclohexanone, 3,3,5-trimethyl",0.5,0.6666666666666667,3,-1.0,0.0,3,0.1999999999999999,0.747060078104662,5,-0.3181818181818182,0.3402976141819036,11,3
ENSMUSG00000026504-B,Cyclooctylamine,0.5,0.6666666666666667,3,-1.0,0.0,3,-0.4857142857142857,0.3287230320699709,6,-0.5167031396007775,0.0854212962762408,12,3
ENSMUSG00000026504-B,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.2898855178262242,0.5773517870348748,6,0.3017562435036767,0.3404816268576308,12,3
ENSMUSG00000026504-B,"Cytosine, N-(tert-butyldimethylsilyl)-",0.0,1.0,3,-0.5,0.6666666666666667,3,-0.5428571428571429,0.2657026239067055,6,0.0561406964658003,0.8624202045691698,12,3
ENSMUSG00000026504-B,Diacetyl monoxime,0.8660254037844387,0.3333333333333332,3,-0.5,0.6666666666666667,3,0.2571428571428572,0.6227871720116618,6,0.1971879882571196,0.5390267201932186,12,3
ENSMUSG00000026504-B,Diethylamine,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.4058397249567139,0.4246625075613645,6,-0.2947386564454516,0.3523789994544738,12,3
ENSMUSG00000026504-B,DL-Glyceraldehyde,0.8660254037844387,0.3333333333333332,3,0.0,1.0,3,-0.2,0.704,6,-0.3104177135045252,0.326100391742138,12,3
ENSMUSG00000026504-B,DL-p-Hydroxyphenyllactic acid,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.6668859288553501,0.2188939813132316,5,-0.1776769985555,0.6012097556087768,11,3
ENSMUSG00000026504-B,"Dodecanoic acid, 1-methylethyl ester",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.5428571428571429,0.2657026239067055,6,-0.0175439676455626,0.9568431055442904,12,3
ENSMUSG00000026504-B,Dodecanoic acid,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.0857142857142857,0.8717434402332361,6,0.2042304164091596,0.5243243274359985,12,3
ENSMUSG00000026504-B,"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.6377481392176932,0.1730711102412597,6,0.0245615547037876,0.9396041416775024,12,3
ENSMUSG00000026504-B,Durapan,,,1,-0.5,0.6666666666666667,3,0.2571428571428572,0.6227871720116618,6,0.1999999999999999,0.5795840000000001,10,2
ENSMUSG00000026504-B,"Erythrono-1,4-lactone",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,-0.0857142857142857,0.8717434402332361,6,-0.1166143263021362,0.7181596508909602,12,3
ENSMUSG00000026504-B,Ethanolamine,-1.0,0.0,3,-0.8660254037844387,0.3333333333333332,3,0.2319084142609793,0.658373571260927,6,-0.3104177135045252,0.326100391742138,12,3
ENSMUSG00000026504-B,Formamide,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.3188740696088466,0.5379005604702051,6,0.1631369795469086,0.6124392831854751,12,3
ENSMUSG00000026504-B,Frangulin,-0.5,0.6666666666666667,3,,,2,-0.632455532033676,0.367544467966324,4,0.1422606594884729,0.7150322450059001,9,2
ENSMUSG00000026504-B,Glycerol,-0.8660254037844387,0.3333333333333332,3,0.5,0.6666666666666667,3,-0.2,0.704,6,0.2676122697775195,0.4003924002753964,12,3
ENSMUSG00000026504-B,Glycine,-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1159542071304896,0.826848213385815,6,-0.0736846641113629,0.819972964509617,12,3
ENSMUSG00000026504-B,"Glycine, tert.-butyldimethylsilyl ester",-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,-0.3188740696088466,0.5379005604702051,6,-0.29525893691473,0.3514894399964318,12,3
ENSMUSG00000026504-B,Glycolic acid,0.5,0.6666666666666667,3,-1.0,0.0,3,-0.4638168285219587,0.3541642984362303,6,-0.2249591900302704,0.4820838681410553,12,3
ENSMUSG00000026504-B,Guanosine,,,1,1.0,0.0,3,1.0,0.0,4,0.4311454542887732,0.2861957348053601,8,2
ENSMUSG00000026504-B,Heptanoic acid,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.1739313106957345,0.7417339277316277,6,0.4217984813067572,0.1720145323584894,12,3
ENSMUSG00000026504-B,Heptylamine,,,1,-0.5,0.6666666666666667,3,0.4999999999999999,0.3910022189557705,5,0.3514675116774036,0.353666329808871,9,2
ENSMUSG00000026504-B,Hexacosanoic acid,,,2,,,2,-0.0512989176042577,0.934712848108234,5,0.2521097420448053,0.5128371802316591,9,1
ENSMUSG00000026504-B,Hexanoic acid,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.0579771035652448,0.9131317851623264,6,-0.1423712944626717,0.6589311174788266,12,3
ENSMUSG00000026504-B,Hydracrylic acid,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.7714285714285715,0.0723965014577259,6,-0.3957974546111656,0.2028076432500997,12,3
ENSMUSG00000026504-B,"Hymexazole, tert-butyldimethylsilyl ether",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.4857142857142857,0.3287230320699709,6,0.1538461538461538,0.6330906812462618,12,3
