n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent
2-Amino-4-methylbenzophenone,Biphenyl,-0.5,0.6666666666666667,3,-0.7999999999999999,0.1040880386618278,5,-0.3,0.6238376647810728,5,-0.7906366089069089,0.0012928289125134,13,3,True
2-Amino-4-methylbenzophenone,Butachlor ESA,,,0,-0.7999999999999999,0.2,4,0.3999999999999999,0.6,4,-0.3818181818181818,0.2762553333854359,10,2,False
2-Amino-4-methylbenzophenone,Butanedioic acid,-1.0,0.0,3,-0.0999999999999999,0.8728885715695383,5,1.0,1.4042654220543672e-24,5,0.1889005497765679,0.5365298294745378,13,3,False
2-Amino-4-methylbenzophenone,Butylmethylamine,0.5,0.6666666666666667,3,0.4616902584383193,0.4337661561690278,5,-0.3999999999999999,0.5046315754686911,5,-0.0940548079390212,0.7598884394893943,13,3,False
2-Amino-4-methylbenzophenone,Butyric Acid,-0.5,0.6666666666666667,3,-0.0999999999999999,0.8728885715695383,5,-0.3,0.6238376647810728,5,-0.5103491968251445,0.0747538344185599,13,3,True
2-Amino-4-methylbenzophenone,Cholesterol,-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.7,0.1881204043741872,5,-0.4340659340659341,0.1383423778882127,13,3,True
2-Amino-4-methylbenzophenone,Citramalic acid,-0.8660254037844387,0.3333333333333332,3,-0.7,0.1881204043741872,5,0.7999999999999999,0.2,4,0.0105078970250751,0.9741445288204628,12,3,False
2-Amino-4-methylbenzophenone,Crotonic acid,-1.0,0.0,3,-0.3590924232298039,0.5528147466433505,5,-0.3590924232298039,0.5528147466433505,5,-0.5460139625355652,0.0535563888244985,13,3,True
2-Amino-4-methylbenzophenone,Curcumin,0.5,0.6666666666666667,3,-0.8999999999999998,0.0373860734684987,5,0.4999999999999999,0.3910022189557705,5,-0.2928221486582098,0.3315912433905674,13,3,False
2-Amino-4-methylbenzophenone,Cyclobutylamine,1.0,0.0,3,0.0999999999999999,0.8728885715695383,5,-0.2051956704170308,0.7405819415910722,5,-0.1109622339115167,0.7181852970722244,13,3,False
