n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,edge_dir,Pooled FDR
"2(5H)-Furanone, 4-(hydroxymethyl)",Methylthiouracil,,,0,-0.615587011,0.26899777,5,-0.81167945,0.049857585,6,-0.766897281,0.00222155,13,2,TRUE,-,-1,0.032914693
"2-(Ethylamino)ethanol, N-acetyl",Benzyl alcohol,0.866025404,0.333333333,3,0.894427191,0.040519326,5,0.941123948,0.005097541,6,0.898623393,1.26E-05,14,3,TRUE,+,1,0.001517315
"2-(Ethylamino)ethanol, N-acetyl",Formamide,0.866025404,0.333333333,3,0.573539335,0.312036357,5,0.954863711,0.003009949,6,0.868028174,5.71E-05,14,3,TRUE,+,1,0.003838052
"2-(Ethylamino)ethanol, N-acetyl",Hexanoic acid,0.866025404,0.333333333,3,0.573539335,0.312036357,5,0.708447269,0.115113065,6,0.74302977,0.002327222,14,3,TRUE,+,1,0.034025533
"2-(Ethylamino)ethanol, N-acetyl",Isonicotinic Acid,0.866025404,0.333333333,3,0.894427191,0.040519326,5,0.8932596,0.016482195,6,0.834466801,0.000205849,14,3,TRUE,+,1,0.008172548
2-(Methylamino)ethanol,Isonicotinic Acid,0.5,0.666666667,3,1,1.40E-24,5,0.808823529,0.051329063,6,0.798456782,0.000617109,14,3,TRUE,+,1,0.015248309
2-(Methylamino)ethanol,L-Leucine,0.5,0.666666667,3,0.564288094,0.321723336,5,0.898645105,0.014888622,6,0.733037161,0.002856924,14,3,TRUE,+,1,0.037203596
"2,2'-Bipyridine",2-Decanol,,,0,0.947368421,0.014379534,5,0.974679434,0.00481823,5,0.925412783,1.60E-05,12,2,TRUE,+,1,0.001770561
"2,2'-Bipyridine",2-Pentadecanone,0.866025404,0.333333333,3,0.872081599,0.053854218,5,0.677645214,0.139120549,6,0.757847534,0.001687865,14,3,TRUE,+,1,0.027833576
"2,2'-Bipyridine","5-Nonanol, tert-butyldimethylsilyl ether",0.5,0.666666667,3,0.872081599,0.053854218,5,0.806059936,0.052771813,6,0.835207953,0.000200721,14,3,TRUE,+,1,0.008172548
"2,2'-Bipyridine",6-Oxoheptanoic acid,0.866025404,0.333333333,3,0.763157895,0.13333912,5,0.782690898,0.065703848,6,0.723534095,0.003444789,14,3,TRUE,+,1,0.041453882
"2,2'-Bipyridine","Benzenesulfonamide, N-butyl",0.5,0.666666667,3,0.872081599,0.053854218,5,0.602941176,0.205184269,6,0.782003684,0.000950998,14,3,TRUE,+,1,0.01925397
"2,2'-Bipyridine","Dodecanoic acid, 1-methylethyl ester",0.5,0.666666667,3,0.872081599,0.053854218,5,0.666736691,0.148089799,6,0.8331732,0.000215054,14,3,TRUE,+,1,0.008442769
