ID,LPS_934_150124,LPS_935_150124,LPS_936_150124,LPS_939_150124,LPS_940_150124,LPS_941_150124,LPS_942_150124
GROUP,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",18.421033656025397,17.7034182178291,18.33392993367499,18.479534448670165,17.810896215815806,18.898415848586676,18.0904885621857
"2,6,10-Trimethyltridecane",,,,,,18.68550963089702,
2'-Deoxyribolactone,16.48890693268778,16.135183810139637,,,,,
"2',2,3,6'-Tetramethoxychalcone",,22.59839386212323,22.47529503933838,22.59839386212323,22.193443929180415,22.796146442761806,19.563930912449432
3-(2-Hydroxyethyl)imidazole-2-thione,17.625824872359566,16.61451919311857,17.31380941290769,16.709726396275332,18.0178868373195,16.794919963997057,18.0178868373195
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",,,21.64857910645581,19.636106587463576,20.93520637833808,22.14287226668576,21.60303716763059
3-Amino-2-piperidone,17.45786157606711,17.099234784956774,17.781731687172464,17.651854657170954,17.882155419216044,18.369039963068985,18.86991126191946
3-Amino-5-morpholinomethyl-2-oxazolidinone,12.55834916881308,11.494800283249935,12.143927090199591,12.107057376649122,12.143927090199591,13.176874231742685,
3-Aminobenzoic acid,,,22.281792559093713,,,22.74862958605763,22.56359367503951
3-Aminobutanoic acid,19.50276059914064,19.786825981516905,19.91473136247499,19.609109182993645,19.890260881942794,19.786825981516905,20.12075340117764
"3-Buten-2-one, 3-trimethylsilyloxy-",21.54386640331966,21.282688079946674,21.33361504688028,21.49828288184139,21.107926350089425,21.862591332617704,21.44814892156608
"3-Buten-2-one, 4-(4-methoxyphenyl)-",20.637451546160502,20.207319304619368,20.352665999029732,20.244443236485743,20.17005071394075,20.12075340117764,19.711499116990446
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",25.14635860011138,24.545543010928327,24.81039951315844,24.81039951315844,25.14635860011138,25.649318009728308,25.218309232050547
3-Ethylphenol,17.92470913247229,,,,,,
3-Hexenedinitrile,18.68550963089702,18.46109878691888,18.58583938778719,18.53389624634634,18.20589542995774,18.668616033482547,18.80431142334577
"3-Hydroxy-2,3-dihydromaltol",10.514360357323651,8.59654024064751,10.83017029097528,10.288454557177756,10.570147999266855,10.034935893215566,9.721954700004332
3-Hydroxybutyric acid,26.79773459460216,26.935332864058115,26.935332864058115,26.34096517761366,26.063297596123697,26.528555208578304,26.34096517761366
3-Hydroxyisovaleric acid,14.752087772814258,13.716827925963031,14.228627663913358,14.013071079710107,14.490401175957505,14.292486862368166,14.69416442741775
3-Indoleacetic acid,15.419306692432324,16.794919963997057,16.82266709864107,16.87752785698289,17.625824872359566,17.781731687172464,17.53836835873985
3-Indolepropionic acid,,,,,,,
"3-Methoxyamphetamine, 4-Trimethylsilyloxy, N,N-bis(Trimethylsilyloxy)-",28.87213728846867,28.276150698287744,28.69205932345248,28.69205932345248,28.276150698287744,28.576111494722007,28.276150698287744
3-Methoxysalicylic acid,,,,26.935332864058115,25.49475000767739,27.16444445888146,
"3-Methyl-1-(tetrahydropyrrolo[1,2-c]oxazol-3-ylidene)-butan-2-one",,,22.949530909238465,,,,
3-Methyl-2-butanol,,11.911866062964663,,,,,15.446974421536046
"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",23.268638665763092,23.118306937273076,23.225200975813753,23.41123570577444,23.472991187099414,23.472991187099414,
3-Methyladenine,15.766068583191366,15.115278210386148,15.419306692432324,15.23532520905947,15.47565088485562,16.66661965770871,15.530700807431602
"3-Methylpiperazine-2,5-dione, (R)-",,,,,,,
3-Methylvaleric acid,16.24231347995814,15.575160493231738,16.21186793109687,15.446974421536046,15.686937837430403,15.724511716267651,15.828506576435428
3-Nonen-1-ol,19.441305226610297,19.257374789771422,19.257374789771422,19.20021924671807,19.159085421600906,18.704265562482494,
3-Ureidopropionic acid,3.937833048399415,2.110156323792186,6.726464603125888,5.393181344000048,6.107075453261778,7.069092399102177,0.9060298943824465
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",,16.87752785698289,17.7034182178291,16.61451919311857,16.566438106771546,16.421620061468055,17.144878353218385
"3,4-Dihydroxymandelic acid, ethyl ester",15.07580742412009,18.58583938778719,15.01055800078942,18.25980209766154,18.99188169085507,18.1669213473799,18.774204760741473
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",24.42084268251031,23.841007666781014,25.028185397811264,25.028185397811264,21.416123911906617,25.829557703030808,22.14287226668576
"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",9.246219268986087,,,,10.514360357323651,9.721954700004332,9.041501334579404
"3,5-Di-tert-butyl-2-trimethylsilyloxybenzaldehyde",,,,,,,
"3,5-di-tert-Butyl-4-hydroxyacetophenone",18.46109878691888,18.369039963068985,,18.507257630874637,,17.74637558667478,18.68550963089702
"3,5-Dimethyl-1,4-diallylpyrazole",22.10541450003973,21.15716649191821,21.44814892156608,21.582656213233918,20.764350264843177,20.70652403918444,21.81796830491396
"3,5-Dimethylpyrazole",15.47565088485562,14.752087772814258,15.093810561445858,15.01055800078942,15.141463023118675,15.07580742412009,15.380862844468128
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,,,16.48890693268778,17.273225108573627,,,
3'-Hydroxyacetophenone,,15.219588933078839,,,,,
