n1,n2,edge_dir
"Kojic acid, bis(tert-butyldimethylsilyl) ether","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1
2-Amino-4-methylbenzophenone,"2,4-Imidazolidinedione, 5,5-dimethyl",-1
3-Aminobenzoic acid,"2,4-Imidazolidinedione, 5,5-dimethyl",1
6-Methyluracil,"2,4-Imidazolidinedione, 5,5-dimethyl",1
Durapan,"2,4-Imidazolidinedione, 5,5-dimethyl",1
"Hymexazole, tert-butyldimethylsilyl ether","2,4-Imidazolidinedione, 5,5-dimethyl",1
"Kojic acid, bis(tert-butyldimethylsilyl) ether","2,4-Imidazolidinedione, 5,5-dimethyl",1
Methanesulfonic acid,"2,4-Imidazolidinedione, 5,5-dimethyl",1
Methylthiouracil,"2,4-Imidazolidinedione, 5,5-dimethyl",1
Pinosylvin,"2,4-Imidazolidinedione, 5,5-dimethyl",1
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole","2,5-Dimethoxybenzhydrazide",-1
"2,5-Dimethoxyphenol","2,5-Dimethoxybenzhydrazide",1
"2',5'-Dimethoxypropiophenone","2,5-Dimethoxybenzhydrazide",1
6-Methyluracil,"2,5-Dimethoxybenzhydrazide",-1
Cyclooctylamine,"2,5-Dimethoxybenzhydrazide",1
Durapan,"2,5-Dimethoxybenzhydrazide",-1
"Hymexazole, tert-butyldimethylsilyl ether","2,5-Dimethoxybenzhydrazide",-1
Ketamine,"2,5-Dimethoxybenzhydrazide",-1
Methanesulfonic acid,"2,5-Dimethoxybenzhydrazide",-1
Methylthiouracil,"2,5-Dimethoxybenzhydrazide",-1
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole","2',5'-Dimethoxypropiophenone",-1
Durapan,"2',5'-Dimethoxypropiophenone",-1
Methylthiouracil,"2',5'-Dimethoxypropiophenone",-1
6-Methyluracil,2-Amino-4-methylbenzophenone,-1
